EV_Type,Program,Scenario,Year,Customer_Type,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%
LDV,DLC,flat,2025,new,131.88,133.93,136.16,138.44,140.63,143.00,145.28,147.61,150.15,152.58,155.24,157.84,160.59,163.27,166.03,168.85,172.15,175.14,178.22,181.39,184.65,188.02,191.50,195.33,199.06,202.91,206.91,211.07,211.07,219.89,224.91,229.50,234.64,240.05,245.34,251.33,257.66,264.39,271.07,278.68,286.40,294.65,303.59,313.91,324.06,335.96,348.33,362.30,378.35,395.81,418.16,443.77,472.03,509.55,558.45,620.79,620.79,706.17,1020.36,1282.76,1731.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2030,new,126.14,127.47,128.82,130.20,131.60,133.03,134.40,135.89,137.41,138.86,140.54,142.16,143.72,145.41,147.14,148.81,150.62,152.49,154.40,156.37,158.26,160.33,162.33,164.66,166.78,169.12,171.38,173.87,173.87,178.95,181.72,184.59,187.40,190.51,193.56,196.74,200.29,204.03,207.71,211.70,215.97,220.33,224.97,229.93,235.61,241.38,247.64,254.49,262.06,269.91,279.38,290.26,302.14,316.35,333.84,355.43,355.43,383.06,493.70,622.78,925.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2035,new,120.76,121.65,122.55,123.52,124.46,125.41,126.31,127.30,128.31,129.33,130.45,131.52,132.57,133.66,134.80,135.96,137.16,138.46,139.63,140.91,142.23,143.58,144.97,146.39,147.86,149.37,150.92,152.44,152.44,155.78,157.66,159.38,161.28,163.24,165.29,167.29,169.51,171.98,174.26,176.81,179.49,182.14,185.13,188.30,191.68,195.30,198.94,203.13,207.40,212.38,217.53,223.66,230.17,238.15,246.97,257.40,257.40,270.07,313.22,359.08,471.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2040,new,115.53,116.14,116.76,117.43,118.08,118.73,119.40,120.08,120.78,121.49,122.25,122.95,123.70,124.47,125.25,126.05,126.87,127.76,128.62,129.51,130.35,131.28,132.23,133.20,134.26,135.30,136.36,137.45,137.45,139.67,140.95,142.19,143.48,144.82,146.12,147.55,149.05,150.72,152.35,154.07,155.75,157.64,159.64,161.75,163.98,166.37,168.93,171.68,174.46,177.68,181.22,185.14,189.54,194.21,199.96,206.33,206.33,214.31,238.62,261.54,313.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2045,new,112.35,112.75,113.16,113.60,114.03,114.46,114.90,115.35,115.80,116.27,116.77,117.26,117.75,118.26,118.78,119.30,119.81,120.39,120.96,121.53,122.13,122.73,123.36,123.99,124.69,125.37,126.06,126.78,126.78,128.23,129.07,129.88,130.72,131.59,132.49,133.43,134.41,135.49,136.49,137.60,138.77,140.00,141.29,142.65,144.19,145.63,147.28,149.04,150.94,153.01,155.12,157.76,160.54,163.62,167.05,171.26,171.26,176.00,191.03,203.57,227.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,flat,2050,new,110.12,110.24,110.37,110.51,110.65,110.78,110.92,111.07,111.21,111.36,111.51,111.67,111.82,111.98,112.14,112.31,112.48,112.66,112.84,113.02,113.21,113.40,113.59,113.79,114.01,114.22,114.44,114.66,114.66,115.13,115.39,115.64,115.90,116.18,116.46,116.75,117.05,117.38,117.71,118.05,118.41,118.79,119.18,119.60,120.07,120.54,121.03,121.57,122.14,122.75,123.42,124.20,125.02,125.93,126.96,128.14,128.14,129.54,133.61,136.77,142.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2025,new,130.83,131.74,132.67,133.62,134.57,135.55,136.54,137.55,138.57,139.61,140.67,141.66,142.85,143.87,145.10,146.17,147.45,148.56,149.79,151.04,152.32,153.63,154.97,156.23,157.74,159.06,160.52,161.92,161.92,165.02,166.64,168.24,170.01,171.77,173.44,175.30,177.06,179.05,181.10,183.22,185.23,187.51,189.67,192.13,194.46,196.93,199.43,202.32,205.10,208.29,211.07,214.60,218.02,221.65,225.51,229.63,229.63,233.63,243.42,248.68,254.15,260.91,267.72,275.56,284.47,293.75,304.82,316.66,331.65,348.69,371.27,397.15,434.94,477.14,536.41,614.47,723.74,866.01,1132.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2030,new,119.47,120.00,120.58,121.11,121.71,122.26,122.87,123.44,124.07,124.65,125.25,125.86,126.52,127.15,127.83,128.48,129.19,129.85,130.59,131.28,131.98,132.70,133.48,134.23,135.04,135.82,136.67,137.47,137.47,139.12,140.05,140.92,141.89,142.80,143.81,144.69,145.75,146.84,147.87,149.02,150.11,151.23,152.38,153.67,154.89,156.26,157.57,158.91,160.31,161.88,163.38,165.07,166.56,168.39,170.15,172.16,172.16,173.94,178.29,180.55,182.95,185.72,188.22,191.39,194.55,197.97,201.71,205.83,210.41,215.56,220.94,228.09,235.94,246.09,257.28,275.24,304.72,356.51,555.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LDV,DLC,high,2035,new,108.25,108.52,108.82,109.10,109.41,109.69,110.01,110.30,110.63,110.93,111.27,111.58,111.93,112.25,112.61,112.94,113.31,113.65,114.03,114.39,114.78,115.15,115.53,115.91,116.33,116.73,117.17,117.58,117.58,118.47,118.94,119.39,119.89,120.36,120.88,121.37,121.91,122.43,122.96,123.54,124.10,124.72,125.30,125.96,126.58,127.28,127.94,128.68,129.39,130.18,130.88,131.73,132.55,133.47,134.35,135.36,135.36,136.33,138.50,139.62,140.81,142.17,143.51,145.06,146.60,148.25,150.04,152.17,154.33,156.74,159.45,162.83,166.16,170.91,175.94,183.96,194.28,214.72,306.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
